Expression: ^\d+::([\w\s:,\.\(\)'\-\/!&ÁÉÍÓÚáéíóúäëïöü]+)\s(\(\d\d\d\d\))::.*$
{title: Judy Berlin, year: (1999)}
{title: Mifune's Last Song (Mifunes sidste sang), year: (1999)}
{title: Waiting Game, The, year: (2000)}
{title: 3 Strikes, year: (2000)}
{title: Chain of Fools, year: (2000)}
{title: Drowning Mona, year: (2000)}
{title: Next Best Thing, The, year: (2000)}
3326::What Planet Are You From? (2000)::Comedy|Sci-Fi
{title: Beyond the Mat, year: (1999)}
{title: Ghost Dog: The Way of the Samurai, year: (1999)}
{title: Year My Voice Broke, The, year: (1987)}
{title: Splendor in the Grass, year: (1961)}
{title: My Tutor, year: (1983)}
{title: Legend of Lobo, The, year: (1962)}
{title: Killing of Sister George, The, year: (1968)}
{title: Key Largo, year: (1948)}
{title: Jail Bait, year: (1954)}
{title: It Happened Here, year: (1966)}
{title: I'll Never Forget What's'isname, year: (1967)}
{title: For All Mankind, year: (1989)}
{title: Cross of Iron, year: (1977)}
{title: Bride of the Monster, year: (1955)}
{title: Born Yesterday, year: (1950)}
{title: Birdy, year: (1984)}
{title: And God Created Woman, year: (1988)}
{title: Blood Feast, year: (1963)}
{title: Charlie, the Lonesome Cougar, year: (1967)}
{title: Color Me Blood Red, year: (1965)}
{title: Never Cry Wolf, year: (1983)}
{title: Night Visitor, The, year: (1970)}
{title: Perils of Pauline, The, year: (1947)}
{title: Raisin in the Sun, A, year: (1961)}
{title: Two Thousand Maniacs!, year: (1964)}
{title: Brown's Requiem, year: (1998)}
{title: Closer You Get, The, year: (2000)}
{title: Mission to Mars, year: (2000)}
{title: Ninth Gate, The, year: (1999)}
{title: Condo Painting, year: (2000)}
{title: East-West (Est-ouest), year: (1999)}
{title: Defending Your Life, year: (1991)}
{title: Breaking Away, year: (1979)}
{title: Hoosiers, year: (1986)}
{title: Bull Durham, year: (1988)}
{title: Dog Day Afternoon, year: (1975)}
{title: American Graffiti, year: (1973)}
{title: Asphalt Jungle, The, year: (1950)}
{title: Searchers, The, year: (1956)}
{title: Devil's Brigade, The, year: (1968)}
{title: Big Country, The, year: (1958)}
{title: Any Number Can Win (Mélodie en sous-sol ), year: (1963)}
{title: Betrayed, year: (1988)}
{title: Bound for Glory, year: (1976)}
{title: Bridge at Remagen, The, year: (1969)}
{title: Buck and the Preacher, year: (1972)}
{title: Daughters of the Dust, year: (1991)}
{title: Destination Moon, year: (1950)}
{title: Fantastic Night, The (La Nuit Fantastique), year: (1942)}
{title: Hangmen Also Die, year: (1943)}
{title: Ogre, The (Der Unhold), year: (1996)}
{title: On the Beach, year: (1959)}
{title: Railroaded!, year: (1947)}
{title: Slaves to the Underground, year: (1997)}
{title: Song of Freedom, year: (1936)}
{title: Big Fella, year: (1937)}
{title: Taking of Pelham One Two Three, The, year: (1974)}
{title: Volunteers, year: (1985)}
{title: JFK, year: (1991)}
3387::Who's Harry Crumb? (1989)::Comedy
{title: Harry and the Hendersons, year: (1987)}
{title: Let's Get Harry, year: (1986)}
{title: Shanghai Surprise, year: (1986)}
3391::Who's That Girl? (1987)::Comedy
{title: She-Devil, year: (1989)}
{title: Date with an Angel, year: (1987)}
{title: Blind Date, year: (1987)}
{title: Nadine, year: (1987)}
{title: Muppet Movie, The, year: (1979)}
{title: Great Muppet Caper, The, year: (1981)}
{title: Muppets Take Manhattan, The, year: (1984)}
{title: Sesame Street Presents Follow That Bird, year: (1985)}
{title: We're Back! A Dinosaur's Story, year: (1993)}
{title: Baby... Secret of the Lost Legend, year: (1985)}
{title: Turtle Diary, year: (1985)}
{title: Raise the Titanic, year: (1980)}
{title: Titanic, year: (1953)}
{title: Night to Remember, A, year: (1958)}
{title: Captain Horatio Hornblower, year: (1951)}
{title: Carriers Are Waiting, The (Les Convoyeurs Attendent), year: (1999)}
{title: Erin Brockovich, year: (2000)}
{title: Final Destination, year: (2000)}
{title: Soft Fruit, year: (1999)}
{title: Babymother, year: (1998)}
{title: Bear, The (Ours, L'), year: (1988)}
{title: Impact, year: (1949)}
{title: Love Is a Many-Splendored Thing, year: (1955)}
{title: Mirror, The (Zerkalo), year: (1975)}
{title: Crimson Pirate, The, year: (1952)}
{title: Thelma & Louise, year: (1991)}
{title: Something for Everyone, year: (1970)}
{title: ...And Justice for All, year: (1979)}
{title: Animal House, year: (1978)}
{title: She's Gotta Have It, year: (1986)}
{title: School Daze, year: (1988)}
{title: Do the Right Thing, year: (1989)}
{title: Mo' Better Blues, year: (1990)}
{title: Jungle Fever, year: (1991)}
{title: Coogan's Bluff, year: (1968)}
{title: Champ, The, year: (1979)}
{title: Creature Comforts, year: (1989)}
{title: Death Wish, year: (1974)}
{title: Death Wish 2, year: (1982)}
{title: Death Wish 3, year: (1985)}
{title: Death Wish 4: The Crackdown, year: (1987)}
{title: Death Wish V: The Face of Death, year: (1994)}
{title: Double Indemnity, year: (1944)}
{title: Dying Young, year: (1991)}
{title: Cool as Ice, year: (1991)}
{title: Teenage Mutant Ninja Turtles, year: (1990)}
{title: Teenage Mutant Ninja Turtles II: The Secret of the Ooze, year: (1991)}
{title: Teenage Mutant Ninja Turtles III, year: (1993)}
{title: Red Dawn, year: (1984)}
{title: Band of the Hand, year: (1986)}
{title: Born American, year: (1986)}
{title: Bloodsport, year: (1988)}
{title: Eyes of Laura Mars, year: (1978)}
{title: Funny Bones, year: (1995)}
{title: Good Earth, The, year: (1937)}
{title: Good Morning, Vietnam, year: (1987)}
{title: Good Mother, The, year: (1988)}
{title: Grumpy Old Men, year: (1993)}
{title: Guess Who's Coming to Dinner, year: (1967)}
{title: Romeo Must Die, year: (2000)}
{title: Here on Earth, year: (2000)}
{title: Whatever It Takes, year: (2000)}
{title: Buddy Boy, year: (1999)}
{title: Color of Paradise, The (Rang-e khoda), year: (1999)}
{title: Waking the Dead, year: (2000)}
{title: Blood and Sand (Sangre y Arena), year: (1989)}
{title: Gothic, year: (1986)}
{title: Hillbillys in a Haunted House, year: (1967)}
{title: Lord of the Flies, year: (1963)}
{title: Modern Times, year: (1936)}
{title: Last Resort (a.k.a. National Lampoon's Last Resort), year: (1994)}
{title: Solar Crisis, year: (1990)}
{title: That's Life!, year: (1986)}
{title: Heart and Souls, year: (1993)}
{title: Hud, year: (1963)}
{title: Hustler, The, year: (1961)}
{title: Inherit the Wind, year: (1960)}
{title: Dersu Uzala, year: (1975)}
{title: Close Encounters of the Third Kind, year: (1977)}
{title: Horror Hotel (a.k.a. City of the Dead, The), year: (1960)}
{title: Jonah Who Will Be 25 in the Year 2000 (Jonas qui aura 25 ans en l'an 2000), year: (1976)}
{title: Retroactive, year: (1997)}
{title: Place in the Sun, A, year: (1951)}
{title: Jacob's Ladder, year: (1990)}
{title: Empire Records, year: (1995)}
{title: Bamba, La, year: (1987)}
{title: Ladyhawke, year: (1985)}
{title: Lucas, year: (1986)}
{title: High Fidelity, year: (2000)}
{title: Road to El Dorado, The, year: (2000)}
{title: Skulls, The, year: (2000)}
{title: Autopsy (Macchie Solari), year: (1975)}
{title: Devil Girl From Mars, year: (1954)}
{title: El Dorado, year: (1967)}
{title: Hideous Sun Demon, The, year: (1959)}
{title: Hook, year: (1991)}
{title: Horror Express, year: (1972)}
{title: My Chauffeur, year: (1986)}
{title: Son of the Sheik, The, year: (1926)}
{title: Torso (I Corpi Presentano Tracce di Violenza Carnale), year: (1973)}
{title: True Grit, year: (1969)}
{title: Roadside Prophets, year: (1992)}
{title: Madame Sousatzka, year: (1988)}
{title: Max Dugan Returns, year: (1983)}
{title: Midnight Express, year: (1978)}
{title: Misery, year: (1990)}
{title: Mr. Saturday Night, year: (1992)}
{title: Murphy's Romance, year: (1985)}
{title: My Life, year: (1993)}
{title: Solaris (Solyaris), year: (1972)}
{title: Network, year: (1976)}
{title: No Way Out, year: (1987)}
{title: North Dallas Forty, year: (1979)}
{title: Odd Couple, The, year: (1968)}
{title: Outlaw Josey Wales, The, year: (1976)}
{title: Black and White, year: (1999)}
{title: Frequency, year: (2000)}
{title: Ready to Rumble, year: (2000)}
{title: Return to Me, year: (2000)}
{title: Rules of Engagement, year: (2000)}
{title: Joe Gould's Secret, year: (2000)}
{title: Me Myself I, year: (2000)}
{title: Bell, Book and Candle, year: (1958)}
{title: Bells, The, year: (1926)}
{title: End of Violence, The, year: (1997)}
{title: Force 10 from Navarone, year: (1978)}
{title: How to Stuff a Wild Bikini, year: (1965)}
{title: Mystery Train, year: (1989)}
{title: Sacco and Vanzetti (Sacco e Vanzetti), year: (1971)}
{title: Taffin, year: (1988)}
{title: Arthur, year: (1981)}
{title: Bachelor Party, year: (1984)}
{title: Parenthood, year: (1989)}
{title: Predator, year: (1987)}
{title: Prince of Tides, The, year: (1991)}
{title: Postman Always Rings Twice, The, year: (1981)}
{title: Smoking/No Smoking, year: (1993)}
{title: All the Vermeers in New York, year: (1990)}
{title: Actor's Revenge, An (Yukinojo henge), year: (1963)}
{title: 28 Days, year: (2000)}
{title: American Psycho, year: (2000)}
{title: Keeping the Faith, year: (2000)}
{title: Where the Money Is, year: (2000)}
{title: East is East, year: (1999)}
{title: Filth and the Fury, The, year: (2000)}
{title: Passion of Mind, year: (1999)}
{title: Third World Cop, year: (1999)}
{title: Coming Apart, year: (1969)}
{title: Diner, year: (1982)}
{title: Shakes the Clown, year: (1992)}
{title: Cabaret, year: (1972)}
3546::What Ever Happened to Baby Jane? (1962)::Drama|Thriller
{title: Prick Up Your Ears, year: (1987)}
{title: Auntie Mame, year: (1958)}
{title: Guys and Dolls, year: (1955)}
{title: Hunger, The, year: (1983)}
{title: Marathon Man, year: (1976)}
{title: Caddyshack, year: (1980)}
{title: Gossip, year: (2000)}
{title: Love and Basketball, year: (2000)}
{title: U-571, year: (2000)}
{title: Virgin Suicides, The, year: (1999)}
{title: Jennifer 8, year: (1992)}
{title: Law, The (a.k.a. Where the Hot Wind Blows!) (Le Legge), year: (1958)}
{title: Limelight, year: (1952)}
{title: In the Realm of Passion (a.k.a. Phantom Love) (Ai No Borei), year: (1978)}
{title: Stacy's Knights, year: (1982)}
{title: Committed, year: (2000)}
{title: Crow: Salvation, The, year: (2000)}
{title: Flintstones in Viva Rock Vegas, The, year: (2000)}
{title: Where the Heart Is, year: (2000)}
{title: Big Kahuna, The, year: (2000)}
{title: Bossa Nova, year: (2000)}
{title: Goat on Fire and Smiling Fish, year: (1999)}
{title: Idiots, The (Idioterne), year: (1998)}
{title: Last September, The, year: (1999)}
{title: Time Code, year: (2000)}
{title: Carnosaur, year: (1993)}
{title: Carnosaur 2, year: (1995)}
{title: Carnosaur 3: Primal Species, year: (1996)}
{title: Defying Gravity, year: (1997)}
{title: Hidden, The, year: (1987)}
{title: Two Moon Junction, year: (1988)}
{title: Gladiator, year: (2000)}
{title: I Dreamed of Africa, year: (2000)}
{title: Up at the Villa, year: (2000)}
{title: Human Traffic, year: (1999)}
{title: Jails, Hospitals & Hip-Hop, year: (2000)}
{title: Black Tights (1-2-3-4 ou Les Collants noirs), year: (1960)}
{title: Breathless, year: (1983)}
{title: Great Locomotive Chase, The, year: (1956)}
{title: Idolmaker, The, year: (1980)}
{title: Inferno, year: (1980)}
{title: King of Marvin Gardens, The, year: (1972)}
{title: Whom the Gods Wish to Destroy (Nibelungen, Teil 1: Siegfried, Die), year: (1966)}
{title: Lords of Flatbush, The, year: (1974)}
{title: Mr. Mom, year: (1983)}
3592::Time Masters (Les Maîtres du Temps) (1982)::Animation|Sci-Fi
{title: Battlefield Earth, year: (2000)}
{title: Center Stage, year: (2000)}
{title: Held Up, year: (1999)}
{title: Screwed, year: (2000)}
{title: Whipped, year: (2000)}
{title: Hamlet, year: (2000)}
{title: Anchors Aweigh, year: (1945)}
{title: Blue Hawaii, year: (1961)}
{title: Castaway Cowboy, The, year: (1974)}
{title: G. I. Blues, year: (1960)}
{title: Gay Deceivers, The, year: (1969)}
{title: Gypsy, year: (1962)}
{title: King Creole, year: (1958)}
{title: On the Town, year: (1949)}
{title: One Little Indian, year: (1973)}
{title: Pee-wee's Big Adventure, year: (1985)}
{title: Regret to Inform, year: (1998)}
{title: Roustabout, year: (1964)}
{title: Saludos Amigos, year: (1943)}
{title: Slipper and the Rose, The, year: (1976)}
{title: Things Change, year: (1988)}
{title: Honeymoon in Vegas, year: (1992)}
{title: Dinosaur, year: (2000)}
{title: Loser, year: (2000)}
{title: Road Trip, year: (2000)}
{title: Small Time Crooks, year: (2000)}
{title: Hollywood Knights, The, year: (1980)}
{title: Myth of Fingerprints, The, year: (1997)}
{title: Possession, year: (1981)}
{title: Twelve Chairs, The, year: (1970)}
{title: Mission: Impossible 2, year: (2000)}
{title: Shanghai Noon, year: (2000)}
{title: Better Living Through Circuitry, year: (1999)}
3626::8 ½ Women (a.k.a. 8 1/2 Women) (a.k.a. Eight and a Half Women) (1999)::Comedy
{title: Carnival of Souls, year: (1962)}
{title: Flying Tigers, year: (1942)}
{title: Gold Rush, The, year: (1925)}
{title: House of Exorcism, The (a.k.a. Lisa and the Devil) (La Casa dell'esorcismo), year: (1973)}
{title: It's in the Water, year: (1998)}
{title: Monsieur Verdoux, year: (1947)}
{title: On Her Majesty's Secret Service, year: (1969)}
{title: Seven Days in May, year: (1964)}
{title: Spy Who Loved Me, The, year: (1977)}
{title: Those Who Love Me Can Take the Train (Ceux qui m'aiment prendront le train), year: (1998)}
{title: Vagabond (Sans toit ni loi), year: (1985)}
{title: Moonraker, year: (1979)}
{title: Man with the Golden Gun, The, year: (1974)}
{title: King in New York, A, year: (1957)}
{title: Woman of Paris, A, year: (1923)}
{title: In Old California, year: (1942)}
{title: Fighting Seabees, The, year: (1944)}
{title: Dark Command, year: (1940)}
3645::Cleo From 5 to 7 (Cléo de 5 à 7) (1962)::Drama
{title: Big Momma's House, year: (2000)}
{title: Running Free, year: (1999)}
{title: Abominable Snowman, The, year: (1957)}
{title: American Gigolo, year: (1980)}
{title: Anguish (Angustia), year: (1987)}
{title: Blood Spattered Bride, The (La Novia Ensangrentada), year: (1972)}
3652::City of the Living Dead (Paura nella città dei morti viventi) (1980)::Horror
{title: Endless Summer, The, year: (1966)}
{title: Guns of Navarone, The, year: (1961)}
{title: Blow-Out (La Grande Bouffe), year: (1973)}
{title: Lured, year: (1947)}
{title: Pandora and the Flying Dutchman, year: (1951)}
{title: Quatermass and the Pit, year: (1967)}
{title: Enemy from Space (Quatermass 2), year: (1957)}
{title: Puppet Master, year: (1989)}
{title: Puppet Master II, year: (1990)}
{title: Puppet Master III: Toulon's Revenge, year: (1991)}
{title: Puppet Master 4, year: (1993)}
{title: Puppet Master 5: The Final Chapter, year: (1994)}
{title: Curse of the Puppet Master, year: (1998)}
{title: Retro Puppet Master, year: (1999)}
{title: Rent-A-Cop, year: (1988)}
{title: Romeo and Juliet, year: (1968)}
{title: Stay Tuned, year: (1992)}
{title: Story of G.I. Joe, The, year: (1945)}
{title: Blazing Saddles, year: (1974)}
{title: Benji, year: (1974)}
{title: Benji the Hunted, year: (1987)}
{title: For the Love of Benji, year: (1977)}
{title: White Christmas, year: (1954)}
{title: Eraserhead, year: (1977)}
{title: Baraka, year: (1992)}
{title: Man with the Golden Arm, The, year: (1955)}
{title: Decline of Western Civilization, The, year: (1981)}
{title: Decline of Western Civilization Part II: The Metal Years, The, year: (1988)}
3681::For a Few Dollars More (Per qualche dollaro in più) (1965)::Action|Drama|Thriller|Western
{title: Magnum Force, year: (1973)}
{title: Blood Simple, year: (1984)}
{title: Fabulous Baker Boys, The, year: (1989)}
{title: Prizzi's Honor, year: (1985)}
{title: Flatliners, year: (1990)}
{title: Light Years (Gandahar), year: (1988)}
{title: Porky's, year: (1981)}
{title: Porky's II: The Next Day, year: (1983)}
{title: Porky's Revenge, year: (1985)}
{title: Private School, year: (1983)}
{title: Class of Nuke 'Em High, year: (1986)}
{title: Toxic Avenger, The, year: (1985)}
{title: Toxic Avenger, Part II, The, year: (1989)}
{title: Toxic Avenger Part III: The Last Temptation of Toxie, The, year: (1989)}
{title: Night of the Creeps, year: (1986)}
{title: Predator 2, year: (1990)}
{title: Running Man, The, year: (1987)}
{title: Starman, year: (1984)}
{title: Brother from Another Planet, The, year: (1984)}
{title: Alien Nation, year: (1988)}
{title: Mad Max, year: (1979)}
{title: Road Warrior, The (Mad Max 2), year: (1981)}
{title: Mad Max Beyond Thunderdome, year: (1985)}
{title: Bird on a Wire, year: (1990)}
{title: Angel Heart, year: (1987)}
{title: Nine 1/2 Weeks, year: (1986)}
{title: Firestarter, year: (1984)}
{title: Sleepwalkers, year: (1992)}
{title: Action Jackson, year: (1988)}
{title: Sarafina!, year: (1992)}
{title: Soapdish, year: (1991)}
{title: Long Walk Home, The, year: (1990)}
{title: Clara's Heart, year: (1988)}
{title: Burglar, year: (1987)}
{title: Fatal Beauty, year: (1987)}
{title: Gone in 60 Seconds, year: (2000)}
{title: American Pimp, year: (1999)}
{title: Love's Labour's Lost, year: (2000)}
{title: Sunshine, year: (1999)}
{title: Trixie, year: (2000)}
{title: American Virgin, year: (2000)}
{title: Hamlet, year: (1990)}
{title: Coming Home, year: (1978)}
{title: American Pop, year: (1981)}
{title: Assault on Precinct 13, year: (1976)}
{title: Near Dark, year: (1987)}
{title: One False Move, year: (1992)}
